position,rec_id,year,country,commodity,location,fac_name,fac_type,dmslat,dmslong,latitude,longitude,precision,mm,op_comp,maininvest,othinvest,status,capacity,units,notes,cite
636,636,2007,India,Barite,"Andhra Pradesh","Cuddapah District mines",Mine,"14° 25'  N","078° 45'  E",14.42,78.75,A,,"Pragathi Minerals","Pragathi Minerals",,Active,50,"thousand metric tons per year",,847
619,619,2007,India,Alumina,Orissa,"Dhamanjodi refinery",Plant,"19° 11'  N","083° 02'  E",19.18,83.03,F,,"National Aluminum Co. Ltd.","Government of India, 100%",,Active,1580,"thousand metric tons per year",,847
620,620,2007,India,Alumina,Orissa,"Koraput refinery",Plant,"19° 11'  N","083° 02'  E",19.18,83.03,F,,"Utkal Alumina International Ltd.","Hindalco Industries Ltd., 100%",,Active,1500,"thousand metric tons per year","Scheduled startup was delayed to 2007 or later",847
621,621,2007,India,Alumina,"Uttar Pradesh","Renukoot refinery",Plant,"24° 13'  N","083° 02'  E",24.22,83.03,F,,"Hindalco Industries. Ltd.","Birla Group, 33%","Foreign Investors, 26%; Private Indian Investors, 23%; Financial Institutions, 18%)",Active,450,"thousand metric tons per year",,847
622,622,2007,India,Alumina,Karnataka,"Belgaum refinery",Plant,"15° 55'  N","074° 32'  E",15.91,74.54,F,,"Indian Aluminum Co. Ltd.","Indian Interests, 60.4%","Alcan Aluminum Ltd. (Canada), 39.6%",Active,280,"thousand metric tons per year",,847
623,623,2007,India,Alumina,Chhattisgarh,"Korba refinery",Plant,"22° 23'  N","082° 44'  E",22.39,82.73,F,,"Bharat Aluminum Co. Ltd.","Sterlite Industries Ltd., 51%","Government of India, 49%",Active,200,"thousand metric tons per year",,847
624,624,2007,India,Alumina,Jharkhand,"Muri refinery",Plant,"23° 23'  N","085° 52'  E",23.38,85.87,F,,"Indian Aluminum Co. Ltd.","Indian Interests, 60.4%","Alcan Aluminum Ltd. (Canada), 39.6%",Active,88,"thousand metric tons per year",,847
625,625,2007,India,Alumina,"Tamil Nadu","Mettur refinery",Plant,"11° 46'  N","077° 49'  E",11.77,77.81,F,,"Madras Aluminum Co. Ltd.","Sterlite Industries Ltd., 80%","Others, 20%",Active,80,"thousand metric tons per year",,847
626,626,2007,India,Aluminum,Chhattisgarh,"Korba Smelter",Plant,"22° 23'  N","082° 44'  E",22.39,82.73,F,,"Bharat Aluminum Co. Ltd.","Sterlite Industries Ltd., 51%","Government of India, 49%",Active,350,"thousand metric tons per year",,847
627,627,2007,India,Aluminum,Orissa,"Angul Smelter",Plant,"20° 50'  N","085° 10'  E",20.83,85.16,F,,"National Aluminum Co. Ltd.","Government of India, 100%",,Active,345,"thousand metric tons per year",,847
628,628,2007,India,Aluminum,"Uttar Pradesh","Renukoot Smelter",Plant,"24° 13'  N","083° 02'  E",24.22,83.03,F,,"Hindalco Industries Ltd.","Birla Group, 33%","Foreign Investors, 26%; Private Indian Investors, 23%; Financial Institutions, 18%)",Active,275,"thousand metric tons per year",,847
629,629,2007,India,Aluminum,Orissa,"Hirakud Smelter",Plant,"21° 32'  N","083° 55'  E",21.53,83.91,F,,"Hindalco Industries Ltd.","Birla Group, 33%","Foreign Investors, 26%; Private Indian Investors, 23%; Financial Institutions, 18%)",Active,100,"thousand metric tons per year",,847
630,630,2007,India,Aluminum,Karnataka,"Belgaum Smelter",Plant,"15° 55'  N","074° 32'  E",15.91,74.54,F,,"Indian Aluminum Co. Ltd.","Indian Interests, 60.4%","Alcan Aluminum Ltd. (Canada), 39.6%",Active,70,"thousand metric tons per year",,847
631,631,2007,India,Aluminum,"Tamil Nadu","Mettur Smelter",Plant,"11° 46'  N","077° 49'  E",11.77,77.81,F,,"Madras Aluminum Co. Ltd.","Sterlite Industries Ltd., 80%","Others, 20%",Active,40,"thousand metric tons per year",,847
632,632,2007,India,Aluminum,Kerala,"Alupuram Smelter",Plant,"10° 05'  N","076° 20'  E",10.08,76.33,F,,"Indian Aluminum Co. Ltd.","Indian Interests, 60.4%","Alcan Aluminum Ltd. (Canada), 39.6%",Active,20,"thousand metric tons per year",,847
633,633,2007,India,Barite,"Andhra Pradesh","Cuddapah District mines",Mine,"14° 25'  N","078° 45'  E",14.42,78.75,A,,"Andhra Pradesh Mineral Development Corp. Ltd.","Andhra Pradesh State Government, 100%",,Active,350,"thousand metric tons per year",,847
